Keywords,Sub-keywords,Frequency
new,new,1264
new,newly,66
new,fresh,35
release,release,107
release,launch,2220
release,introduce,145
popular,popular,9
popular,famous,11
popular,trend,5
popular,hot,21
popular,top,113
popular,best,6
popular,recent,21
