Keywords,Sub-keywords,Frequency
delivery,delivery,350
delay,wait,1923
delay,delay,1578
delay,hold,24
ship,ship,531
ship,send,886
package,package,127
package,box,70
package,packet,4
package,parcel,38
track,track,115
long,long,651
lost,lost,1
lost,lose,41
late,late,71
late,lately,12
broken,crack,14
broken,break,165
broken,broken,4
missing,miss,77
missing,missing,2
cancel,cancel,172
stolen,steal,7
