Category,Subcategory,Sentiment,Frequency
discount,discount,NEU,54
discount,discount,POS,31
discount,discount,NEG,8
sale,sale,NEU,53
sale,sale,POS,18
sale,sale,NEG,11
offer,offer,NEU,72
offer,offer,POS,55
offer,offer,NEG,8
promotion,promotion,POS,6
promotion,promotion,NEG,4
promotion,promotion,NEU,3
coupon,coupon,NEU,17
coupon,coupon,POS,10
coupon,coupon,NEG,9
voucher,voucher,POS,7
voucher,voucher,NEU,7
voucher,voucher,NEG,5
