Category,Subcategory,Sentiment,Frequency
Natural,natural,NEU,81
Natural,natural,POS,58
Natural,natural,NEG,2
Organic,organic,NEU,69
Organic,organic,POS,17
Halal,halal,NEU,40
Halal,halal,POS,1
Vegan,vegan,NEU,26
Vegan,vegan,POS,2
Vegan,vegan,NEG,1
Chemical,chemical,NEU,278
Chemical,chemical,POS,80
Chemical,chemical,NEG,28
Alcohol,alcohol,NEU,27
Alcohol,alcohol,POS,12
Alcohol,alcohol,NEG,3
Fragrance,fragrance,NEU,92
Fragrance,fragrance,POS,74
Fragrance,fragrance,NEG,21
