Keywords,Sub-keywords,Frequency
new,new,1264
new,newly,66
new,fresh,35
new,recent,21
release,release,107
release,launch,2220
release,introduce,145
trend,trend,5
trend,popular,9
trend,famous,11
trend,hot,21
trend,top,113
trend,best,6
want,want,1540
want,desire,101
want,need,1787
want,wish,871
